"timestamp"	"essid"	"mac address"	"link quality"	"raw rssi"	"raw zone"	"predicted rssi"	"predicted zone"	"rssi delta"	"rssi step delta"	"rssi step predicted"	"timestamp step delta"
1387869014.355309	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"38/70"	-67	"E"	0	""	0	0	0	0
1387869019.72984	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"38/70"	-67	"E"	0	""	0	0	0	0
1387869024.32027	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"38/70"	-67	"E"	-67	"E"	0	0	0	0
1387869028.815611	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-67	"E"	10	0	0	0
1387869033.387032	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-67	"E"	10	10	-67	9.06676197052002
1387869037.928541	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	10	-67	9.112930059432983
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	10	-67	9.1892728805542
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	4.647763967514038
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869056.336086	""	"1A:04:4D:BE:6A:F2"	"70/70"	-30	"B"	0	""	0	0	0	0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869042.576305	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"48/70"	-57	"D"	-57	"D"	0	0	-57	0.0
1387869121.182398	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"70/70"	-31	"B"	-57	"D"	26	26	-57	78.60609316825867
1387869125.888384	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"70/70"	-34	"B"	-57	"D"	23	23	-57	83.31207919120789
1387869130.440585	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"57/70"	-48	"C"	-31	"B"	17	9	-57	9.25818681716919
1387869135.105323	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-34	"B"	16	7	-57	9.216938972473145
1387869139.640568	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-48	"C"	2	-19	-31	9.1999831199646
1387869144.366909	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	-16	-34	9.26158595085144
1387869144.366909	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	-2	-48	4.726341009140015
1387869153.549866	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"70/70"	-35	"B"	-50	"D"	15	15	-50	9.18295693397522
1387869158.196964	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"68/70"	-37	"B"	-50	"D"	13	13	-50	13.830054998397827
1387869162.771777	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"58/70"	-47	"C"	-50	"D"	3	3	-50	9.221910953521729
