"timestamp"	"essid"	"mac address"	"link quality"	"raw rssi"	"raw zone"	"predicted rssi"	"predicted zone"	"rssi delta"	"rssi step delta"	"rssi step predicted"	"timestamp step delta"
1387869726.809209	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"35/70"	-70	"F"	0	""	0	0	0	0
1387869732.062479	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"35/70"	-70	"F"	0	""	0	0	0	0
1387869736.604904	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"35/70"	-70	"F"	0	""	0	0	0	0
1387869736.604904	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"35/70"	-70	"F"	0	""	0	0	0	0
1387869736.604904	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"35/70"	-70	"F"	0	""	0	0	0	0
1387869750.42118	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"45/70"	-60	"E"	-70	"F"	10	0	0	0
1387869754.947095	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"47/70"	-58	"D"	-70	"F"	12	0	0	0
1387869759.48395	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-70	"F"	20	0	0	0
1387869764.028042	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-70	"F"	20	0	0	0
1387869768.66039	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-70	"F"	20	0	0	0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-60	"E"	10	20	-70	22.866910934448242
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-58	"D"	8	20	-70	18.340996026992798
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	20	-70	13.8041410446167
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	20	-70	9.260048866271973
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	20	-70	4.627701044082642
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	10	-60	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	8	-58	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869773.288091	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	0.0
1387869851.472658	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"70/70"	-31	"B"	-50	"D"	19	19	-50	78.18456697463989
1387869856.023805	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"70/70"	-31	"B"	-50	"D"	19	19	-50	82.73571395874023
1387869860.597097	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"60/70"	-45	"C"	-50	"D"	5	5	-50	87.30900597572327
1387869865.27327	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	91.98517894744873
1387869869.801942	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-50	"D"	0	0	-50	96.51385116577148
1387869874.45801	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"55/70"	-50	"D"	-31	"B"	19	0	-50	22.985352039337158
1387869878.972778	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"69/70"	-36	"B"	-31	"B"	5	14	-50	22.948973178863525
1387869883.638074	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"69/70"	-36	"B"	-45	"C"	9	14	-50	23.040977001190186
1387869888.302763	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"54/70"	-51	"D"	-50	"D"	1	-1	-50	23.0294930934906
1387869892.814893	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"38/70"	-67	"E"	-50	"D"	17	-17	-50	23.012950897216797
1387869897.414054	"""DIRECT-Q2-Android_19eb"""	"EA:92:A4:94:9A:5A"	"47/70"	-58	"D"	-50	"D"	8	-27	-31	22.95604395866394
